NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,1,3,5,4,5,2,2,4,1,300000,04/11/2006
20,1530,3,1,2,1,1,2,2,1,330000,11/08/2016
20,3058,3,5,1,2,1,5,1,4,1100000,05/09/2026
