NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,FECHA
25,338,E,E,V,E,L,L,E,L,E,21/04/2017
25,337,L,V,E,E,V,L,V,L,E,13/04/2017
25,336,L,V,L,L,L,L,L,V,L,06/04/2017
25,335,V,L,L,V,E,V,L,E,L,29/03/2017
25,334,L,L,L,V,L,E,L,E,L,24/03/2017
25,333,L,L,L,E,V,L,E,E,L,16/03/2017
25,332,V,V,L,V,L,L,E,L,E,09/03/2017
25,331,V,L,V,L,L,L,V,V,E,02/03/2017
25,330,V,L,E,E,L,V,V,V,V,23/02/2017
25,329,L,L,L,L,V,V,V,E,V,16/02/2017
25,328,L,L,L,L,E,V,E,L,V,09/02/2017
25,327,V,V,V,L,L,E,E,E,V,02/02/2017
25,326,E,V,V,L,E,L,L,L,L,26/01/2017
25,325,E,V,L,L,L,V,L,V,L,19/01/2017
25,324,E,V,L,L,L,E,E,E,L,12/01/2017
25,323,E,V,L,L,V,V,V,L,L,06/01/2017
25,322,E,L,E,L,V,L,L,E,E,23/12/2016
25,321,L,L,E,L,L,L,E,V,V,15/12/2016
25,320,L,V,L,E,L,E,L,V,L,08/12/2016
25,319,V,E,E,L,V,L,L,L,V,02/12/2016
25,318,E,E,L,V,E,E,E,E,L,24/11/2016
25,317,E,L,E,L,V,E,V,E,E,17/11/2016
25,316,E,E,L,V,L,V,V,L,V,12/11/2016
25,315,E,E,L,V,E,L,L,V,L,03/11/2016
25,314,E,E,E,L,L,L,V,V,V,27/10/2016
25,313,V,V,E,E,V,L,V,V,V,20/10/2016
25,312,V,E,L,E,L,E,E,V,V,14/10/2016
25,311,E,E,E,E,L,V,E,V,E,07/10/2016
25,310,E,V,L,E,L,L,L,E,L,29/09/2016
25,309,V,V,V,E,L,E,L,E,V,22/09/2016
25,308,E,V,E,V,V,L,L,V,V,15/09/2016
25,307,E,V,L,L,L,L,L,V,E,08/09/2016
25,306,E,V,V,V,L,V,L,L,E,02/09/2016
25,305,E,L,E,V,L,L,L,V,E,25/08/2016
25,304,V,E,E,E,V,V,E,L,V,18/08/2016
25,303,E,E,E,L,L,L,L,L,E,11/08/2016
25,302,L,E,L,E,L,L,L,V,V,05/08/2016
25,301,L,V,V,E,L,V,E,L,E,28/07/2016
25,300,E,E,L,L,V,E,V,E,V,22/07/2016
25,299,L,V,V,V,V,E,L,L,L,15/07/2016
25,298,E,L,L,L,L,L,L,V,L,01/07/2016
25,297,V,V,V,L,V,V,E,L,V,23/06/2016
25,296,E,L,V,E,E,L,L,V,L,16/06/2016
25,295,L,L,E,V,L,L,L,E,L,10/06/2016
25,294,L,L,V,L,V,E,L,V,V,03/06/2016
25,293,L,L,V,V,L,L,E,E,L,27/05/2016
25,292,V,L,E,V,L,L,L,E,L,20/05/2016
25,291,V,E,L,L,L,E,E,L,L,13/05/2016
25,290,L,L,L,L,L,L,L,E,L,05/05/2016
25,289,E,L,E,L,L,E,E,E,E,29/04/2016
25,288,L,V,E,L,V,E,L,E,L,21/04/2016
25,287,L,E,L,E,L,V,L,L,V,14/04/2016
25,286,E,L,L,L,E,L,V,E,V,07/04/2016
25,285,L,L,L,L,L,E,L,L,V,30/03/2016
25,284,L,L,E,V,E,L,V,E,V,24/03/2016
25,283,E,E,E,E,L,E,L,V,E,17/03/2016
25,282,E,V,L,L,V,V,E,L,L,10/03/2016
25,281,L,L,V,E,E,L,L,E,L,03/03/2016
25,280,V,V,E,E,V,L,E,V,L,25/02/2016
25,279,V,L,L,L,L,E,L,E,V,19/02/2016
25,278,L,V,E,L,V,E,E,E,E,11/02/2016
25,277,E,E,V,E,V,L,E,L,V,04/02/2016
25,276,E,E,V,V,L,V,V,E,L,28/01/2016
25,275,L,L,V,V,L,V,V,V,E,21/01/2016
25,274,E,E,L,E,V,V,L,V,V,14/01/2016
25,273,V,L,V,V,L,E,V,L,V,07/01/2016
25,272,V,V,L,E,V,E,V,L,L,31/12/2015
25,271,V,E,L,L,V,L,E,L,V,17/12/2015
25,270,L,L,V,E,L,V,L,E,L,10/12/2015
25,269,E,V,E,E,L,V,V,E,L,04/12/2015
25,268,E,V,E,L,L,V,E,V,V,26/11/2015
25,267,V,V,V,L,E,V,E,V,L,18/11/2015
25,266,E,V,L,L,V,L,L,E,E,13/11/2015
25,265,V,L,V,L,E,L,L,V,E,05/11/2015
25,264,L,L,E,V,L,L,L,L,E,29/10/2015
25,263,E,E,L,E,E,V,E,E,L,22/10/2015
25,262,L,V,L,E,V,V,L,L,L,15/10/2015
25,261,L,E,E,L,L,V,L,V,L,08/10/2015
25,260,L,L,L,E,E,L,V,L,E,01/10/2015
25,259,E,E,E,V,L,V,V,L,L,24/09/2015
25,258,V,L,L,L,L,V,V,E,E,14/09/2015
25,257,V,V,L,V,E,L,E,L,L,10/09/2015
25,256,V,V,L,V,E,E,L,L,V,04/09/2015
25,255,V,E,V,L,L,L,L,L,L,27/08/2015
25,254,V,V,V,L,E,L,L,V,L,20/08/2015
25,253,L,V,L,V,L,L,L,L,L,13/08/2015
25,252,L,E,E,L,E,L,L,L,E,06/08/2015
25,251,E,E,V,V,E,E,E,V,E,30/07/2015
25,250,E,L,L,L,L,E,L,L,L,23/07/2015
25,249,V,L,E,L,E,L,L,V,V,16/07/2015
25,248,L,E,E,L,L,L,L,L,L,10/07/2015
25,247,L,E,L,L,L,V,L,L,L,03/07/2015
25,246,V,E,L,V,E,L,L,L,L,26/06/2015
25,245,E,E,L,L,V,L,L,E,L,05/06/2015
25,244,L,L,V,L,E,V,L,L,L,29/05/2015
25,243,E,L,E,L,E,V,E,L,E,22/05/2015
25,242,E,L,L,E,L,E,L,V,L,15/05/2015
25,241,E,L,L,E,L,L,L,L,L,08/05/2015
25,240,V,V,E,L,V,V,E,V,E,30/04/2015
25,239,L,L,E,L,L,L,L,E,E,23/04/2015
25,238,L,V,L,E,L,V,V,E,L,16/04/2015
25,237,L,L,V,E,V,V,V,E,V,09/04/2015
25,236,V,E,L,E,L,L,L,E,L,02/04/2015
25,235,L,L,L,E,L,L,V,E,L,26/03/2015
25,234,L,L,L,V,L,V,L,V,L,19/03/2015
25,233,V,L,E,L,V,E,L,E,V,12/03/2015
25,232,E,V,E,L,E,V,E,V,V,05/03/2015
25,231,V,V,L,V,V,L,V,L,V,26/02/2015
25,230,V,V,V,L,E,E,E,E,E,19/02/2015
25,229,L,V,L,L,E,L,E,L,E,11/02/2015
25,228,E,L,L,L,L,L,L,L,E,05/02/2015
25,227,V,E,L,L,E,V,V,L,L,29/01/2015
25,226,L,V,L,V,E,E,L,E,L,22/01/2015
25,225,L,V,L,V,V,E,L,L,E,15/01/2015
25,224,V,E,E,E,V,L,L,V,E,06/01/2015
25,223,E,E,E,L,E,E,E,L,L,01/01/2015
25,222,L,E,V,V,V,V,L,V,E,17/12/2014
25,221,L,E,E,L,E,V,L,L,V,11/12/2014
25,220,V,E,V,V,V,V,V,L,V,04/12/2014
25,219,E,L,V,L,V,E,V,L,E,27/11/2014
25,218,L,V,L,L,V,V,L,V,L,20/11/2014
25,217,V,V,L,E,L,V,L,L,L,13/11/2014
25,216,E,V,L,L,L,V,V,L,E,06/11/2014
25,215,E,V,V,V,L,E,L,L,E,30/10/2014
25,214,V,L,L,V,L,L,L,L,V,23/10/2014
25,213,E,V,V,V,E,V,V,E,V,15/10/2014
25,212,V,L,L,L,V,E,L,V,V,09/10/2014
25,211,L,E,V,E,E,L,E,L,L,02/10/2014
25,210,L,L,V,V,E,E,L,L,L,25/09/2014
25,209,L,V,V,E,V,L,L,L,E,18/09/2014
25,208,E,V,L,L,V,L,L,L,L,11/09/2014
25,207,V,V,L,V,L,L,L,V,L,04/09/2014
25,206,E,L,E,L,V,V,L,L,L,28/08/2014
25,205,L,E,L,L,E,E,V,E,L,21/08/2014
25,204,L,L,L,L,E,L,L,L,L,14/08/2014
25,203,E,V,E,E,E,V,E,E,E,07/08/2014
25,202,E,V,L,E,L,V,E,L,L,31/07/2014
25,201,L,V,L,E,E,V,L,L,L,17/07/2014
25,200,L,E,E,V,V,V,L,L,E,19/06/2014
25,199,V,L,V,E,L,L,E,L,L,05/06/2014
25,198,L,L,L,E,V,E,L,L,V,29/05/2014
25,197,L,L,V,L,L,L,L,L,E,08/05/2014
25,196,V,V,E,V,V,L,E,E,L,01/05/2014
25,195,E,L,E,E,L,L,E,L,V,24/04/2014
25,194,L,E,V,V,E,L,V,L,V,17/04/2014
25,193,L,V,L,L,L,L,L,L,L,10/04/2014
25,192,V,L,L,E,E,E,L,V,L,03/04/2014
25,191,V,V,E,L,V,L,L,L,V,27/03/2014
25,190,L,E,L,L,L,L,E,L,L,20/03/2014
25,189,V,E,L,L,L,L,L,L,E,13/03/2014
25,188,E,E,L,L,L,L,L,E,E,06/03/2014
25,187,V,L,E,V,V,E,L,V,E,27/02/2014
25,186,V,V,V,V,V,E,E,E,E,20/02/2014
25,185,L,L,E,V,V,E,L,L,E,13/02/2014
25,184,L,E,V,L,V,E,V,V,L,06/02/2014
25,183,L,L,L,L,L,V,L,V,V,30/01/2014
25,182,V,L,V,L,L,L,V,V,V,22/01/2014
25,181,L,L,V,L,L,V,V,L,L,16/01/2014
25,180,L,L,E,E,E,E,L,L,L,09/01/2014
25,179,V,L,E,L,L,V,E,L,V,01/01/2014
25,178,V,V,V,L,L,V,E,V,L,26/12/2013
25,177,L,L,V,L,L,L,L,E,E,12/12/2013
25,176,L,V,E,L,L,V,V,L,E,05/12/2013
25,175,L,L,L,V,E,V,L,L,L,27/11/2013
25,174,V,E,E,L,V,L,L,L,V,20/11/2013
25,173,L,V,V,L,E,V,L,L,L,14/11/2013
25,172,E,E,E,L,L,V,E,L,L,06/11/2013
25,171,L,L,V,V,L,E,E,E,L,31/10/2013
25,170,V,V,E,L,V,L,L,L,E,23/10/2013
25,169,L,E,V,L,V,L,E,V,V,16/10/2013
25,168,E,V,L,L,V,L,L,L,E,10/10/2013
25,167,V,V,L,L,V,E,E,L,V,02/10/2013
25,166,V,L,L,L,E,L,V,L,L,26/09/2013
25,165,V,E,L,V,V,V,V,L,V,18/09/2013
25,164,L,E,E,E,L,L,V,L,E,11/09/2013
25,163,L,L,L,L,L,E,V,L,L,05/09/2013
25,162,V,L,L,V,V,L,L,L,E,29/08/2013
25,161,V,L,L,V,E,V,V,E,E,22/08/2013
25,160,L,V,V,E,E,L,L,E,V,15/08/2013
25,159,L,E,L,V,L,L,V,V,V,08/08/2013
25,158,E,L,V,V,V,E,V,E,E,01/08/2013
25,157,L,L,L,L,L,V,L,L,E,24/07/2013
25,156,L,L,L,L,L,L,V,E,V,18/07/2013
25,155,L,L,E,L,E,E,L,E,L,04/07/2013
25,154,V,V,V,E,V,V,L,L,L,27/06/2013
25,153,L,L,L,V,L,L,L,L,V,20/06/2013
25,152,E,L,L,L,E,V,L,E,V,13/06/2013
25,151,V,E,L,V,E,E,V,L,L,06/06/2013
25,150,L,E,L,E,V,E,V,V,V,30/05/2013
25,149,V,L,V,V,V,E,L,L,V,16/05/2013
25,148,L,V,E,V,L,V,V,E,L,09/05/2013
25,147,L,L,E,L,V,L,V,L,L,02/05/2013
25,146,E,L,E,L,E,V,V,L,L,18/04/2013
25,145,E,E,L,L,L,L,V,E,L,11/04/2013
25,144,E,E,V,V,E,L,E,L,E,04/04/2013
25,143,E,L,L,E,L,L,L,V,E,28/03/2013
25,142,E,L,L,L,L,V,L,L,L,14/03/2013
25,141,E,L,L,V,L,L,V,V,L,07/03/2013
25,140,L,L,V,V,E,E,L,L,L,28/02/2013
25,139,V,V,V,L,L,E,L,E,L,21/02/2013
25,138,V,V,V,V,E,E,L,V,L,14/02/2013
25,137,E,L,E,L,E,V,L,V,V,07/02/2013
25,136,E,E,L,L,E,L,L,L,V,31/01/2013
25,135,E,L,L,L,E,L,E,E,V,24/01/2013
25,134,L,E,L,V,V,L,E,V,L,17/01/2013
25,133,V,L,L,E,V,E,L,V,V,03/01/2013
25,132,V,L,L,L,V,V,L,L,L,20/12/2012
25,131,V,L,V,V,L,V,L,L,V,13/12/2012
25,130,L,V,E,L,L,V,E,L,V,06/12/2012
25,129,L,E,L,L,L,V,E,L,V,29/11/2012
25,128,V,L,E,L,L,E,V,V,E,22/11/2012
25,127,E,E,L,L,E,V,E,V,V,15/11/2012
25,126,E,E,E,E,L,L,L,L,V,08/11/2012
25,125,E,L,V,E,E,L,E,L,L,01/11/2012
25,124,V,L,L,V,L,L,L,L,V,25/10/2012
25,123,L,L,L,E,L,V,V,E,E,18/10/2012
25,122,L,V,L,L,E,V,E,V,L,04/10/2012
25,121,L,E,E,L,V,V,E,L,E,27/09/2012
25,120,L,L,E,L,V,V,L,E,L,20/09/2012
25,119,L,V,L,V,E,V,E,V,E,13/09/2012
25,118,L,L,L,V,E,V,L,L,L,06/09/2012
25,117,V,L,V,L,E,E,E,V,L,30/08/2012
25,116,L,L,E,L,L,V,L,E,L,23/08/2012
25,115,V,E,L,L,V,L,E,V,E,16/08/2012
25,114,V,L,E,L,L,V,V,V,L,09/08/2012
25,113,L,E,E,E,L,E,L,V,L,02/08/2012
25,112,L,V,L,L,L,E,L,E,L,26/07/2012
25,111,L,L,L,L,L,E,L,L,E,19/07/2012
25,110,L,L,E,L,V,E,V,E,V,05/07/2012
25,109,L,L,E,E,V,V,E,L,E,21/06/2012
25,108,V,E,E,V,E,V,V,E,L,14/06/2012
25,107,L,L,L,E,L,V,L,E,E,07/06/2012
25,106,L,V,V,V,L,L,V,L,V,31/05/2012
25,105,E,L,L,E,L,E,L,V,V,24/05/2012
25,104,E,L,V,V,L,V,V,L,L,17/05/2012
25,103,L,V,L,L,L,L,L,V,E,10/05/2012
25,102,E,L,E,L,V,V,L,V,L,03/05/2012
25,101,L,E,L,V,L,V,E,L,E,26/04/2012
25,100,L,L,L,L,L,L,L,L,L,19/04/2012
25,99,V,V,L,L,E,L,E,L,E,12/04/2012
25,98,E,L,E,E,V,L,L,L,L,05/04/2012
25,97,L,E,L,L,L,V,V,E,V,29/03/2012
25,96,L,L,L,V,L,V,E,V,L,22/03/2012
25,95,L,E,L,L,L,L,L,L,E,15/03/2012
25,94,V,L,V,L,L,L,L,V,L,08/03/2012
25,93,V,V,V,V,V,E,V,E,V,01/03/2012
25,92,L,L,E,L,L,L,L,L,V,23/02/2012
25,91,V,L,V,V,V,V,L,L,V,16/02/2012
25,90,E,V,V,V,E,E,V,L,E,09/02/2012
25,89,L,E,V,E,V,V,L,L,E,02/02/2012
25,88,E,L,V,L,E,L,L,L,L,26/01/2012
25,87,L,V,L,V,L,L,V,L,L,12/01/2012
25,86,E,E,E,E,E,V,V,L,E,22/12/2011
25,85,L,L,L,L,E,E,E,E,E,15/12/2011
25,84,V,L,L,V,E,V,L,E,L,08/12/2011
25,83,E,L,L,V,V,E,V,V,E,01/12/2011
25,82,E,E,L,E,L,L,V,V,E,24/11/2011
25,81,V,L,L,E,E,V,V,L,L,17/11/2011
25,80,L,E,L,L,V,E,L,E,V,03/11/2011
25,79,E,L,E,L,L,L,L,L,L,27/10/2011
25,78,L,V,L,L,E,V,V,L,V,20/10/2011
25,77,V,L,E,L,L,L,L,V,L,12/10/2011
25,76,E,L,L,E,L,L,V,E,L,29/09/2011
25,75,L,V,L,E,V,E,E,L,E,22/09/2011
25,74,E,L,V,L,L,E,V,E,V,15/09/2011
25,73,E,L,L,L,E,L,L,L,L,06/09/2011
25,72,L,E,E,E,V,V,L,L,L,01/09/2011
25,71,V,L,V,E,L,V,V,L,E,25/08/2011
25,70,L,L,V,L,E,L,L,L,L,18/08/2011
25,69,E,L,L,V,L,L,L,E,L,11/08/2011
25,68,V,L,E,L,L,L,V,E,L,04/08/2011
25,67,L,L,L,L,L,V,E,E,L,28/07/2011
25,66,V,V,L,L,E,E,V,L,L,21/07/2011
25,65,L,L,E,L,L,L,L,L,L,14/07/2011
25,64,E,L,V,L,E,V,L,E,V,07/07/2011
25,63,V,L,L,L,V,L,L,V,V,30/06/2011
25,62,L,E,E,V,L,V,L,E,E,23/06/2011
25,61,E,E,V,E,E,L,L,L,E,16/06/2011
25,60,V,E,L,L,L,L,E,V,L,09/06/2011
25,59,L,E,V,L,L,E,E,L,E,02/06/2011
25,58,L,V,L,E,V,L,L,V,E,26/05/2011
25,57,E,L,V,E,L,L,L,L,L,19/05/2011
25,56,E,L,E,L,L,L,L,E,L,12/05/2011
25,55,E,L,L,E,V,E,L,L,L,05/05/2011
25,54,V,V,V,L,L,L,L,L,L,28/04/2011
25,53,E,L,L,L,V,E,E,L,E,21/04/2011
25,52,E,V,L,V,L,V,L,E,V,14/04/2011
25,51,L,L,E,L,V,L,V,L,L,07/04/2011
25,50,E,L,L,L,L,V,E,E,L,31/03/2011
25,49,L,L,E,V,E,L,L,V,L,24/03/2011
25,48,L,L,V,L,L,V,L,L,E,17/03/2011
25,47,L,L,L,E,L,L,V,L,E,10/03/2011
25,46,L,E,V,L,L,V,E,E,L,03/03/2011
25,45,L,L,L,L,V,V,E,E,L,24/02/2011
25,44,V,L,L,V,E,V,L,E,L,17/02/2011
25,43,L,L,E,L,V,L,V,L,E,10/02/2011
25,42,L,L,L,V,L,L,E,L,L,03/02/2011
25,41,V,L,E,V,V,L,E,L,L,27/01/2011
25,40,L,V,V,L,L,E,L,L,V,20/01/2011
25,39,L,E,L,E,L,L,L,L,L,13/01/2011
25,38,L,V,E,V,V,E,V,L,E,06/01/2011
25,37,L,V,L,E,V,E,V,E,L,29/12/2010
25,36,E,E,E,V,L,L,L,L,E,22/12/2010
25,35,V,L,E,L,E,L,E,E,E,16/12/2010
25,34,E,L,V,E,L,L,L,V,L,09/12/2010
25,33,L,L,L,L,E,V,L,E,E,02/12/2010
25,32,L,V,V,L,V,L,L,V,L,24/11/2010
25,31,L,L,V,V,V,V,L,E,E,17/11/2010
25,30,E,E,L,E,V,E,L,E,L,11/11/2010
25,29,L,V,L,L,E,V,L,E,L,04/11/2010
25,28,V,E,V,V,V,L,E,E,V,28/10/2010
25,27,V,L,L,L,L,E,L,E,L,21/10/2010
25,26,E,E,L,L,L,L,E,V,E,13/10/2010
25,25,V,V,E,L,L,L,E,L,V,07/10/2010
25,24,V,L,V,E,V,L,V,E,L,28/09/2010
25,23,E,E,E,L,L,E,V,L,V,23/09/2010
25,22,E,E,L,E,L,L,L,L,L,14/09/2010
25,21,L,L,L,V,E,E,V,V,L,08/09/2010
25,20,V,L,E,L,V,L,L,E,L,02/09/2010
25,19,L,E,L,L,V,L,V,L,L,26/08/2010
25,18,L,L,L,E,L,L,L,E,L,19/08/2010
25,17,E,V,V,V,E,E,V,L,L,12/08/2010
25,16,V,V,L,E,L,E,L,L,V,05/08/2010
25,15,E,L,V,V,L,V,E,L,L,29/07/2010
25,14,L,L,L,L,E,L,V,V,V,22/07/2010
25,13,E,V,L,E,E,L,V,L,V,15/07/2010
25,12,L,E,V,V,V,V,V,E,L,04/07/2010
25,11,V,V,V,V,V,E,L,V,V,24/06/2010
25,10,E,L,E,V,V,V,V,L,L,17/06/2010
25,9,L,L,E,L,V,L,E,L,L,27/05/2010
25,8,L,L,V,L,V,V,V,V,L,20/05/2010
25,7,L,L,V,V,L,L,E,L,L,13/05/2010
25,6,L,L,V,V,L,L,V,V,L,06/05/2010
25,5,V,L,L,L,L,L,E,L,V,29/04/2010
25,4,L,L,L,E,L,L,L,L,L,22/04/2010
25,3,V,L,L,E,E,V,L,E,E,15/04/2010
25,2,L,V,L,L,L,L,V,V,L,08/04/2010
25,1,E,L,L,E,L,L,E,E,L,01/04/2010
