NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,552,L,V,D,V,L,V,L,D,L,D,L,D,D,0,12/12/2010
30,551,V,D,L,D,D,D,L,L,V,D,L,D,L,0,05/12/2010
30,550,L,L,D,D,D,D,D,D,V,V,D,V,V,3500000,29/11/2010
30,549,V,D,V,V,D,L,D,L,V,V,D,L,L,1500000,21/11/2010
30,548,L,L,L,D,D,L,D,L,V,V,D,V,V,1500000,14/11/2010
30,547,D,V,D,D,L,L,D,D,V,D,D,L,D,1500000,08/11/2010
30,546,V,L,V,V,L,L,D,L,L,L,D,L,L,1500000,31/10/2010
30,545,L,L,V,D,D,D,D,L,D,V,D,D,D,1500000,24/10/2010
30,544,L,V,D,D,D,D,L,D,L,D,D,D,V,1500000,17/10/2010
30,543,D,V,V,L,D,V,L,V,L,L,V,D,L,1500000,10/10/2010
30,542,V,L,D,D,D,D,D,D,D,V,D,L,V,1500000,03/10/2010
30,541,L,D,L,V,L,V,V,V,V,L,L,V,V,1500000,26/09/2010
30,540,D,L,D,V,D,V,L,D,L,D,L,L,D,1500000,19/09/2010
30,539,D,L,D,D,D,L,L,L,L,L,V,D,D,1500000,12/09/2010
30,538,D,L,D,D,D,L,D,D,D,D,D,D,D,1500000,02/09/2010
30,537,L,V,D,L,L,D,L,L,L,L,L,D,L,1500000,29/08/2010
30,536,L,V,L,V,V,D,D,D,L,V,D,D,D,1500000,22/08/2010
30,535,D,V,D,D,L,L,L,D,L,D,V,L,V,1500000,15/08/2010
30,534,V,V,L,D,L,D,L,L,L,D,V,D,D,1500000,08/02/2010
30,533,L,L,L,V,L,D,L,D,V,V,V,V,D,1500000,04/01/2010
30,532,L,L,L,L,V,V,L,D,D,D,V,V,D,1500000,27/12/2009
30,531,L,V,V,V,D,L,D,D,D,D,V,L,V,1500000,20/12/2009
30,530,D,V,L,L,D,L,L,V,D,V,D,V,L,1500000,13/12/2009
30,529,V,L,L,L,D,V,L,D,V,L,D,D,L,1500000,06/12/2009
30,528,D,L,L,V,L,L,D,V,D,L,L,D,L,1500000,29/11/2009
30,527,D,D,D,D,L,D,V,V,V,L,D,D,D,1500000,22/11/2009
30,526,L,D,L,D,D,D,L,L,D,L,L,L,V,500000,15/11/2009
30,525,L,V,L,D,D,L,L,L,L,D,V,D,V,1500000,08/11/2009
30,524,L,V,L,L,V,V,D,D,L,L,V,L,L,1500000,01/11/2009
30,523,L,V,L,D,V,V,V,V,V,V,L,V,V,1500000,25/10/2009
30,522,V,D,D,L,L,V,V,D,V,L,D,L,V,1000000,18/10/2009
30,521,D,D,D,D,L,L,V,V,L,D,L,V,D,1500000,11/10/2009
30,520,L,D,L,L,L,V,D,L,L,L,L,L,D,1500000,04/10/2009
30,519,L,D,V,D,L,V,V,D,L,V,L,V,L,500000,27/09/2009
30,518,L,V,V,D,L,V,D,L,L,D,L,D,D,500000,20/09/2009
30,517,L,L,V,D,V,V,L,V,D,D,D,D,D,500000,13/09/2009
30,516,L,L,L,L,V,D,L,L,D,L,V,L,L,1500000,05/09/2009
30,515,D,D,D,D,V,D,V,L,D,V,D,D,D,1500000,30/08/2009
30,514,D,L,D,V,D,L,L,D,V,L,L,V,L,500000,23/08/2009
30,513,L,L,L,D,V,L,D,D,L,L,L,D,D,1500000,16/08/2009
30,512,V,D,V,D,D,L,V,V,L,L,D,D,D,0,02/02/2009
30,511,L,L,V,L,L,V,D,L,L,D,L,D,L,3000000,28/12/2008
30,510,V,V,V,L,L,V,V,D,D,L,L,V,D,3000000,21/12/2008
30,509,D,L,D,D,D,D,L,L,D,D,V,V,L,3000000,14/12/2008
30,508,L,D,L,L,L,D,D,D,L,L,L,D,L,3000000,07/12/2008
30,507,E,V,V,E,V,E,E,V,E,V,V,L,L,1500000,30/11/2008
30,506,V,V,V,L,L,L,V,V,V,V,V,E,L,1500000,23/11/2008
30,505,E,E,V,E,L,E,L,V,E,L,E,E,E,1500000,16/11/2008
30,504,V,V,L,L,L,E,E,L,V,E,E,E,E,1500000,09/11/2008
30,503,V,E,V,L,E,E,V,E,V,V,V,E,V,1500000,02/11/2008
30,502,E,L,L,E,E,E,V,L,L,E,V,V,L,1500000,26/10/2008
30,501,L,V,V,V,L,L,L,L,L,E,E,L,L,1500000,19/10/2008
30,500,E,L,L,L,E,E,L,E,V,V,E,V,L,1500000,12/10/2008
30,499,E,L,E,L,V,E,L,E,E,L,V,L,E,1500000,05/10/2008
30,498,V,E,L,L,L,L,L,L,V,V,E,E,E,1500000,28/09/2008
30,497,L,E,L,E,L,L,E,L,L,E,L,L,L,1500000,21/09/2008
30,496,V,E,V,E,E,V,V,E,E,V,E,V,E,1500000,14/09/2008
30,495,L,D,L,L,L,D,L,V,D,V,V,D,V,1500000,07/09/2008
30,494,V,V,D,V,V,D,D,D,D,V,D,V,L,1500000,30/08/2008
30,493,L,V,D,D,L,D,L,L,D,V,D,V,V,500000,24/08/2008
30,492,D,V,D,V,V,D,L,L,D,D,L,V,D,1500000,17/08/2008
30,491,D,D,D,V,V,D,L,D,L,D,V,D,D,1500000,10/08/2008
30,490,L,D,L,V,L,D,D,L,L,D,D,D,D,500000,04/02/2008
30,489,L,V,V,L,L,L,L,D,L,D,D,V,D,1500000,30/12/2007
30,488,D,L,L,D,L,V,L,L,V,D,D,D,L,1500000,23/12/2007
30,487,L,L,D,L,V,V,L,D,V,V,L,V,L,1500000,16/12/2007
30,486,L,D,L,D,L,D,L,L,L,V,D,V,V,1500000,09/12/2007
30,485,L,D,L,L,D,V,V,D,L,D,L,D,L,1500000,02/12/2007
30,484,L,D,L,V,V,D,D,L,D,D,L,D,D,1500000,25/11/2007
30,483,V,L,D,L,V,L,D,L,V,D,D,D,L,1500000,18/11/2007
30,482,V,D,D,V,V,L,V,V,V,V,V,L,L,1500000,11/11/2007
30,481,L,L,L,L,V,L,L,D,D,D,V,D,V,1500000,04/11/2007
30,480,V,V,V,D,D,V,V,D,V,L,D,V,L,1500000,28/10/2007
30,479,D,D,D,L,V,L,L,D,D,L,L,D,V,1500000,21/10/2007
30,478,L,L,L,D,V,L,D,D,V,V,L,V,V,1500000,14/10/2007
30,477,D,L,D,L,L,V,D,L,L,D,V,V,D,1500000,07/10/2007
30,476,L,L,V,L,D,V,L,V,V,L,V,L,L,1500000,30/09/2007
30,475,L,D,D,D,L,L,L,D,D,V,V,V,V,1500000,23/09/2007
30,474,D,D,V,D,L,D,V,D,D,L,L,D,V,1500000,16/09/2007
30,473,L,V,D,L,D,V,D,V,D,L,V,L,L,1500000,09/09/2007
30,472,D,L,D,L,V,L,L,L,L,V,D,D,L,1500000,01/09/2007
30,471,V,V,L,L,D,D,L,V,D,L,D,D,D,1500000,26/08/2007
30,470,D,L,V,D,V,V,L,V,L,D,L,D,D,1500000,19/08/2007
30,469,D,L,D,D,V,D,D,D,D,D,D,V,D,1500000,12/08/2007
30,468,L,L,D,D,D,V,D,D,D,L,L,D,D,1500000,04/02/2007
30,467,L,L,V,L,V,V,D,D,V,L,V,V,L,0,01/01/2007
30,466,V,V,D,D,D,V,V,D,D,D,D,D,D,0,26/12/2006
30,465,L,L,L,L,L,V,V,V,D,D,V,L,V,0,19/12/2006
30,464,V,V,V,V,L,V,V,D,D,V,D,L,V,0,12/12/2006
30,463,V,V,D,D,V,D,L,V,D,L,L,V,D,0,05/12/2006
30,462,D,D,D,V,L,D,V,D,L,L,D,L,L,0,28/11/2006
30,461,L,D,V,V,L,D,V,D,V,D,L,D,V,0,21/11/2006
30,460,D,D,V,D,D,D,D,V,D,L,D,V,D,0,14/11/2006
30,459,L,D,D,L,D,V,V,V,L,D,L,V,L,0,07/11/2006
30,458,L,D,V,D,V,L,L,L,L,D,L,L,V,0,31/10/2006
30,457,D,L,V,L,V,D,D,D,V,L,V,L,V,0,24/10/2006
30,456,D,D,D,L,V,D,D,D,L,D,V,L,D,0,17/10/2006
30,455,L,L,L,L,D,D,D,L,D,L,L,L,L,0,10/10/2006
30,454,L,V,D,D,D,D,D,L,L,D,D,V,L,0,03/10/2006
30,453,D,D,V,L,V,D,V,D,L,V,D,V,L,0,26/09/2006
30,452,V,D,L,L,V,D,L,L,L,D,V,L,L,0,19/09/2006
30,451,V,V,D,V,L,D,V,V,D,V,L,L,D,0,12/09/2006
30,450,D,V,L,D,D,V,D,D,V,L,D,V,L,0,03/09/2006
30,449,V,L,D,L,D,V,L,L,L,V,D,L,L,0,29/08/2006
30,448,V,D,L,V,D,L,V,V,V,L,L,L,V,0,22/08/2006
30,447,L,L,D,D,L,L,D,D,L,D,L,V,D,0,15/08/2006
30,446,V,L,V,V,D,L,L,V,V,L,L,D,D,0,06/02/2006
30,445,D,D,D,V,L,L,L,D,L,D,L,D,V,0,02/01/2006
30,444,D,V,D,D,V,L,L,L,D,L,L,V,L,0,27/12/2005
30,443,L,V,L,D,V,V,D,D,V,D,D,L,L,0,20/12/2005
30,442,L,D,V,L,L,V,D,D,D,D,D,D,L,0,13/12/2005
30,441,D,L,L,D,D,D,V,L,V,D,L,L,V,0,06/12/2005
30,440,L,D,D,L,L,D,L,D,V,V,D,D,D,0,29/11/2005
30,439,V,L,L,V,D,L,D,L,D,L,L,D,V,0,22/11/2005
30,438,L,L,L,L,D,V,L,D,V,L,L,V,L,0,15/11/2005
30,437,V,V,D,V,L,L,D,D,D,V,V,V,L,0,08/11/2005
30,436,L,D,D,L,D,V,L,V,L,L,D,L,D,0,01/11/2005
30,435,D,D,V,L,L,V,D,L,D,D,L,D,L,0,25/10/2005
30,434,D,D,V,L,D,L,L,D,L,L,V,L,L,0,18/10/2005
30,433,L,L,D,D,L,D,D,V,V,D,L,D,D,0,11/10/2005
30,432,L,V,D,D,V,D,V,D,L,L,D,L,L,0,04/10/2005
30,431,V,D,V,L,D,L,D,D,D,L,D,L,L,0,27/09/2005
30,430,L,L,L,L,L,L,V,V,D,D,D,L,D,0,20/09/2005
30,429,D,V,L,L,D,L,L,V,L,D,L,D,V,0,13/09/2005
30,428,V,D,L,V,D,D,L,D,V,L,D,D,V,0,04/09/2005
30,427,L,V,D,D,V,D,D,D,D,D,L,D,V,0,30/08/2005
30,426,L,V,V,L,D,L,D,V,D,D,V,D,L,0,23/08/2005
30,425,D,L,V,D,L,L,V,D,D,L,D,L,L,0,16/08/2005
30,424,L,D,V,V,D,L,L,L,V,L,D,D,D,0,06/02/2005
30,423,L,D,D,V,V,D,D,D,D,D,L,V,L,0,02/01/2005
30,422,D,V,D,D,D,V,L,L,V,V,V,D,D,0,26/12/2004
30,421,D,V,V,V,D,D,V,L,D,L,D,L,D,0,19/12/2004
30,420,L,L,L,V,D,V,L,D,D,L,D,L,L,0,12/12/2004
30,419,D,L,V,L,L,V,V,L,L,V,D,L,L,0,05/12/2004
30,418,L,L,L,L,D,L,L,V,L,D,V,V,V,0,28/11/2004
30,417,L,L,V,D,D,D,D,V,L,D,L,D,L,0,21/11/2004
30,416,V,L,V,L,D,L,D,L,D,V,D,D,V,0,14/11/2004
30,415,V,D,D,L,V,D,L,D,V,L,V,L,V,0,07/11/2004
30,414,L,L,L,L,L,V,D,L,V,V,D,L,L,0,31/10/2004
30,413,L,V,D,D,L,L,L,V,L,D,L,L,D,0,24/10/2004
30,412,L,D,L,D,L,V,D,L,L,L,V,D,V,0,17/10/2004
30,411,D,V,V,D,L,L,D,L,D,L,D,D,D,0,10/10/2004
30,410,L,V,V,D,V,L,V,L,L,V,V,L,D,0,03/10/2004
30,409,L,D,V,V,D,V,D,L,D,D,L,L,L,0,27/09/2004
30,408,L,L,L,D,V,D,D,V,D,V,L,D,D,0,19/09/2004
30,407,D,D,L,V,V,V,L,D,L,D,L,L,D,0,12/09/2004
30,406,V,D,D,D,V,D,D,V,L,D,L,L,D,0,05/09/2004
30,405,L,D,L,D,L,D,L,L,D,D,L,L,D,0,29/08/2004
30,404,D,L,L,L,D,V,L,V,D,L,D,V,V,0,22/08/2004
30,403,D,L,L,L,L,D,L,L,D,L,L,D,D,0,15/08/2004
30,402,L,D,L,D,D,V,D,D,L,V,D,V,V,0,01/02/2004
30,401,L,V,V,V,D,D,L,D,L,L,V,L,L,0,28/12/2003
30,400,D,L,D,V,L,V,D,L,D,D,L,L,D,0,21/12/2003
30,399,L,D,V,L,L,D,D,D,D,L,D,D,V,0,14/12/2003
30,398,L,L,L,D,L,V,L,V,V,L,L,L,L,0,07/12/2003
30,397,D,L,D,V,D,L,D,V,L,D,L,V,D,0,30/11/2003
30,396,D,D,D,D,L,V,D,L,V,D,V,D,V,0,23/11/2003
30,395,L,D,D,D,L,D,L,D,D,L,L,V,L,0,16/11/2003
30,394,V,L,V,D,L,L,D,L,L,D,L,D,D,0,09/11/2003
30,393,L,D,D,L,D,D,L,L,L,D,L,V,L,0,02/11/2003
30,392,D,D,D,L,L,L,V,D,V,V,D,L,L,0,26/10/2003
30,391,L,V,L,L,D,V,D,D,V,L,D,L,L,0,19/10/2003
30,390,V,D,L,L,D,V,L,D,D,V,V,L,D,0,12/10/2003
30,389,L,L,D,D,V,V,D,D,L,L,D,L,D,0,05/10/2003
30,388,L,L,L,V,D,V,D,V,L,V,D,V,D,0,28/09/2003
30,387,V,L,V,V,L,L,V,V,L,D,D,V,D,0,21/09/2003
30,386,V,L,L,V,L,D,L,D,D,V,D,V,V,0,14/09/2003
30,385,L,L,V,D,D,D,D,L,L,L,V,L,L,0,07/09/2003
30,384,V,V,V,L,L,D,D,D,D,L,L,V,L,0,04/09/2003
30,383,V,L,V,L,D,L,V,L,V,D,D,L,L,0,24/08/2003
30,382,D,V,V,L,L,L,D,L,V,D,D,L,D,0,17/08/2003
30,381,D,D,L,D,D,D,D,L,D,V,V,L,L,0,10/08/2003
30,380,D,L,V,D,L,D,L,L,L,V,L,D,D,0,26/01/2003
30,379,D,L,L,V,D,D,D,D,D,L,L,L,D,0,29/12/2002
30,378,D,D,V,L,D,L,V,L,L,V,L,D,L,0,22/12/2002
30,377,D,D,L,D,D,L,D,L,D,L,L,L,D,0,15/12/2002
30,376,L,L,L,V,D,L,D,D,D,V,V,D,V,0,08/12/2002
30,375,L,L,D,D,D,V,L,L,D,D,L,L,L,0,01/12/2002
30,374,V,L,L,D,V,D,L,D,L,L,V,D,D,0,24/11/2002
30,373,D,L,D,V,L,L,L,L,L,D,V,D,V,0,17/11/2002
30,372,V,D,D,L,L,L,V,V,V,V,L,D,D,0,10/11/2002
30,371,V,D,V,V,D,L,V,D,D,V,D,V,V,0,03/11/2002
30,370,V,D,D,L,D,D,L,L,V,D,L,V,D,0,27/10/2002
30,369,V,L,L,L,D,D,L,L,L,L,D,D,L,0,20/10/2002
30,368,D,V,V,D,V,V,D,L,V,L,L,D,L,0,13/10/2002
30,367,V,D,V,L,L,D,V,D,V,D,L,D,L,0,06/10/2002
30,366,V,D,L,D,D,D,L,L,L,D,V,L,L,0,29/09/2002
30,365,V,V,D,L,V,D,D,L,D,V,D,D,L,0,22/09/2002
30,364,D,L,L,L,V,V,V,V,V,D,D,V,L,0,15/09/2002
30,363,L,D,D,D,D,V,L,D,D,D,D,L,L,0,08/09/2002
30,362,D,L,L,D,V,L,L,D,L,D,D,D,L,0,01/09/2002
30,361,D,V,D,V,L,V,D,V,L,V,D,L,D,0,25/08/2002
30,360,L,V,D,D,L,L,V,D,D,D,L,V,V,0,18/08/2002
30,359,L,D,L,D,L,V,V,D,D,D,V,V,V,0,11/08/2002
30,358,D,D,D,L,V,V,L,V,L,L,L,D,D,0,06/01/2002
30,357,L,V,L,D,V,D,L,D,L,D,D,D,D,0,30/12/2001
30,356,L,L,D,D,D,L,L,L,D,D,D,L,V,0,23/12/2001
30,355,D,V,L,D,D,D,D,D,V,L,L,L,D,0,16/12/2001
30,354,D,L,L,D,D,V,L,L,L,L,V,D,L,0,09/12/2001
30,353,D,D,L,D,L,D,D,V,D,V,D,D,D,0,02/12/2001
30,352,V,D,D,D,L,V,V,L,V,V,D,L,V,0,25/11/2001
30,351,D,D,V,L,V,V,D,D,V,L,L,L,V,0,18/11/2001
30,350,L,L,L,L,V,L,D,D,D,L,L,D,V,0,11/11/2001
30,349,D,D,L,D,D,D,V,D,L,V,V,D,L,0,04/11/2001
30,348,D,D,L,D,L,D,D,D,L,D,D,L,V,0,28/10/2001
30,347,V,V,L,D,V,V,V,V,D,L,L,L,L,0,21/10/2001
30,346,V,L,L,L,D,D,D,D,D,D,D,L,D,0,14/10/2001
30,345,V,D,V,L,L,L,D,L,L,D,L,L,D,0,07/10/2001
30,344,L,V,L,V,L,L,V,D,V,V,L,V,L,0,30/09/2001
30,343,L,L,L,L,L,L,V,D,V,L,D,V,D,0,23/09/2001
30,341,V,L,L,V,D,V,D,L,D,D,D,D,L,0,09/09/2001
30,340,D,D,L,L,L,V,L,D,D,L,L,L,L,0,02/09/2001
30,339,D,D,L,L,D,L,D,D,V,L,D,V,V,0,26/08/2001
30,338,L,L,V,V,D,V,D,L,D,D,D,D,D,0,19/08/2001
30,337,D,D,L,V,D,L,V,L,V,D,D,V,L,0,12/08/2001
30,336,D,L,V,L,D,L,L,D,L,V,D,D,L,0,24/12/2000
30,335,L,D,L,L,D,D,D,D,L,V,D,L,V,0,17/12/2000
30,334,L,D,L,L,L,L,V,L,L,D,D,L,L,0,10/12/2000
30,333,D,L,L,V,V,D,D,L,V,D,L,L,V,0,03/12/2000
30,332,L,V,L,L,L,D,V,D,V,L,V,D,D,0,26/11/2000
30,331,L,D,L,D,L,V,D,V,D,L,L,V,D,0,19/11/2000
30,330,L,D,D,L,L,L,V,D,V,D,L,V,V,0,12/11/2000
30,329,V,D,D,D,V,V,D,L,V,V,L,D,D,0,05/11/2000
30,328,L,D,V,L,L,L,D,D,D,D,V,L,V,0,29/10/2000
30,327,L,L,D,D,L,L,D,L,L,V,L,L,V,0,22/10/2000
30,326,L,L,L,L,L,D,D,D,L,V,V,V,D,0,15/10/2000
30,325,D,L,L,L,V,V,V,D,L,V,V,D,L,0,08/10/2000
30,324,L,V,D,D,V,L,V,L,L,D,V,V,D,0,01/10/2000
30,323,L,L,V,L,V,V,V,D,L,V,D,D,V,0,24/09/2000
30,322,D,D,L,L,D,D,L,V,V,V,L,V,L,0,17/09/2000
30,321,L,V,L,D,D,D,V,V,L,V,D,D,D,0,10/09/2000
30,320,D,V,D,D,D,V,V,L,D,D,V,D,L,0,03/09/2000
30,319,D,L,V,L,L,V,D,L,D,V,D,D,D,0,27/08/2000
30,318,D,D,V,L,D,V,D,D,D,D,L,D,V,0,20/08/2000
30,317,D,L,L,D,L,L,D,L,L,L,L,D,D,0,13/08/2000
30,316,D,L,D,L,L,D,D,L,V,D,D,D,V,0,06/08/2000
30,315,L,L,L,L,L,L,D,L,L,V,L,L,D,0,02/01/2000
30,314,V,L,D,L,L,L,D,L,V,L,L,D,D,0,26/12/1999
30,313,L,L,L,L,V,L,L,L,D,D,D,D,L,0,19/12/1999
30,312,L,V,D,L,L,D,D,L,V,L,L,D,D,0,12/12/1999
30,311,V,V,D,L,L,V,L,L,L,L,D,D,L,0,05/12/1999
30,310,D,L,V,V,V,L,L,D,L,V,D,L,V,0,28/11/1999
30,309,L,L,V,L,V,L,D,V,D,D,D,L,V,0,21/11/1999
30,308,L,D,V,L,L,D,L,V,L,D,D,L,L,0,14/11/1999
30,307,D,D,V,V,D,V,L,L,D,L,V,V,V,0,07/11/1999
30,306,V,D,L,L,D,L,V,D,D,L,V,D,V,0,31/10/1999
30,305,D,D,L,L,D,V,L,D,L,L,L,V,D,0,24/10/1999
30,304,D,L,D,D,D,D,D,V,V,D,D,L,D,0,18/10/1999
30,303,D,D,D,D,D,D,D,V,L,D,D,D,L,0,10/10/1999
30,302,D,L,D,V,V,D,D,V,L,D,L,V,D,0,03/10/1999
30,301,D,L,L,L,D,L,L,V,V,L,V,D,D,0,26/09/1999
30,300,D,L,D,D,D,D,V,D,V,V,L,L,L,0,19/09/1999
30,299,D,L,L,L,D,D,D,D,D,V,D,D,L,0,12/09/1999
30,298,V,L,D,L,D,D,V,D,L,D,L,V,V,0,05/09/1999
30,297,L,D,L,L,D,V,V,L,V,D,D,L,L,0,29/08/1999
30,296,L,D,L,D,L,V,L,V,L,L,V,V,D,0,22/08/1999
30,295,D,L,D,L,V,D,L,V,L,D,L,L,V,0,15/08/1999
30,294,V,V,V,V,L,D,L,L,V,V,L,D,L,0,27/12/1998
30,293,V,D,V,L,D,L,L,D,L,D,D,V,D,0,20/12/1998
30,292,D,V,D,L,D,L,L,L,D,D,D,V,L,0,13/12/1998
30,291,D,V,L,L,L,V,D,D,D,D,D,V,D,0,06/12/1998
30,290,L,L,L,V,L,L,V,L,V,D,L,D,V,0,29/11/1998
30,289,D,L,D,L,L,L,L,L,V,D,D,V,L,0,22/11/1998
30,288,L,D,D,D,L,L,L,L,D,V,V,D,D,0,15/11/1998
30,287,V,L,D,L,L,L,D,V,L,D,L,L,D,0,08/11/1998
30,286,V,D,V,V,D,D,D,L,L,L,V,D,L,0,01/11/1998
30,285,D,V,L,L,L,V,D,V,D,D,L,L,V,0,25/10/1998
30,284,V,D,L,L,D,L,D,L,L,D,D,D,L,0,18/10/1998
30,283,L,V,V,L,L,D,V,D,D,L,D,L,D,0,11/10/1998
30,282,D,V,D,L,V,D,L,D,D,D,L,D,L,0,04/10/1998
30,281,L,V,D,V,V,D,D,D,D,L,D,V,D,0,27/09/1998
30,280,D,V,L,V,L,L,D,L,L,L,L,L,V,0,20/09/1998
30,279,V,D,D,D,D,D,V,D,D,L,L,L,D,0,13/09/1998
30,278,D,L,D,V,V,V,L,V,L,L,D,V,D,0,06/09/1998
30,277,L,L,L,V,V,D,L,D,D,D,V,L,L,0,30/08/1998
30,276,V,D,D,D,D,L,D,V,L,V,D,L,D,0,24/08/1998
30,275,D,D,L,D,D,L,D,V,D,L,L,D,V,0,17/08/1998
30,274,V,D,D,L,D,D,L,V,D,L,D,V,D,0,09/08/1998
30,273,L,V,D,L,L,L,V,D,L,D,V,D,L,0,21/12/1997
30,272,L,D,L,D,D,D,L,D,L,L,V,V,D,0,14/12/1997
30,271,V,L,L,V,D,V,L,V,L,V,V,L,V,0,07/12/1997
30,270,L,L,D,D,D,D,L,D,L,V,V,D,V,0,30/11/1997
30,269,D,L,L,L,D,D,L,D,D,D,D,D,L,0,23/11/1997
30,268,L,D,L,D,D,L,L,L,D,D,D,L,V,0,16/11/1997
30,267,L,L,V,L,L,L,L,V,L,V,D,D,D,0,09/11/1997
30,266,V,D,D,D,L,D,L,D,V,L,D,L,D,0,02/11/1997
30,265,V,D,D,D,D,V,D,V,V,V,L,D,L,0,26/10/1997
30,264,V,V,D,V,D,D,V,V,L,D,V,D,V,0,19/10/1997
30,263,L,V,D,D,L,L,V,D,V,L,L,V,L,0,12/10/1997
30,262,L,L,L,D,L,D,V,D,L,D,D,D,V,0,05/10/1997
30,261,L,D,D,V,L,L,L,D,D,L,V,L,D,0,28/09/1997
30,260,V,L,V,L,L,V,D,D,L,L,D,L,D,0,21/09/1997
30,259,L,L,D,D,D,V,D,D,V,V,L,L,V,0,14/09/1997
30,258,D,D,L,D,D,V,V,D,V,D,V,D,L,0,07/09/1997
30,257,D,L,V,D,V,L,D,L,L,D,L,V,L,0,31/08/1997
30,256,L,D,L,D,D,D,V,D,D,D,L,D,L,0,24/08/1997
30,255,L,D,V,D,D,L,V,L,L,L,V,L,L,0,18/08/1997
30,254,L,L,D,L,D,V,D,D,V,V,L,D,D,0,10/08/1997
30,253,D,D,D,V,D,V,L,D,V,L,L,L,L,0,04/08/1997
30,252,D,D,D,L,D,L,L,D,D,L,L,V,L,0,22/12/1996
30,251,D,L,V,L,D,V,V,D,L,V,V,D,D,0,15/12/1996
30,250,D,L,L,L,D,V,V,L,L,D,L,D,L,0,08/12/1996
30,249,D,L,L,L,L,D,D,L,L,L,V,V,L,0,01/12/1996
30,248,D,L,L,L,V,V,D,L,D,D,D,L,D,0,24/11/1996
30,247,D,L,D,D,D,V,D,L,V,L,D,V,L,0,17/11/1996
30,246,L,L,L,V,D,V,L,D,D,D,D,D,L,0,10/11/1996
30,245,D,D,D,D,V,L,V,V,L,L,L,L,L,0,03/11/1996
30,244,V,D,D,L,V,D,D,L,L,V,L,V,L,0,27/10/1996
30,243,D,L,L,D,V,L,L,D,L,L,D,L,D,0,20/10/1996
30,242,V,V,V,V,L,L,D,D,D,L,L,V,L,0,13/10/1996
30,241,L,V,L,V,V,D,V,D,V,D,L,D,V,0,06/10/1996
30,240,V,L,L,D,D,L,D,L,V,D,D,L,V,0,29/09/1996
30,239,D,D,L,D,L,V,V,V,D,D,L,D,D,0,22/09/1996
30,238,V,D,D,L,L,L,L,L,L,D,L,V,V,0,15/09/1996
30,237,D,L,L,V,L,D,V,L,L,L,L,L,V,0,08/09/1996
30,236,D,L,D,L,L,D,L,D,V,L,L,L,L,0,01/09/1996
30,235,D,V,V,V,D,V,V,D,D,L,L,D,L,0,25/08/1996
30,234,L,V,L,D,V,L,V,V,L,D,D,L,L,0,18/08/1996
30,233,L,V,D,L,L,V,L,L,D,L,D,D,D,0,11/08/1996
30,232,D,V,V,D,V,D,D,D,L,L,D,L,D,0,04/08/1996
30,231,V,V,D,D,V,D,V,D,D,D,L,D,V,0,24/12/1995
30,230,L,V,D,D,L,L,D,L,L,V,D,D,D,0,17/12/1995
30,229,L,D,V,D,D,V,V,D,D,V,V,D,L,0,10/12/1995
30,228,D,L,L,D,V,D,L,L,L,D,L,D,L,0,03/12/1995
30,227,D,D,L,V,L,V,D,L,D,L,L,L,L,0,26/11/1995
30,226,L,V,V,V,L,V,V,L,D,D,V,D,L,0,19/11/1995
30,225,D,L,V,D,D,V,D,V,D,V,V,D,D,0,12/11/1995
30,224,D,L,D,V,L,D,D,D,L,D,D,D,V,0,05/11/1995
30,223,D,V,L,L,L,D,L,V,D,D,L,D,D,0,29/10/1995
30,222,D,D,D,D,L,L,L,V,V,V,V,L,D,0,22/10/1995
30,221,D,L,D,D,D,D,D,L,D,V,L,D,V,0,15/10/1995
30,220,D,D,L,D,L,D,D,D,L,L,D,V,V,0,08/10/1995
30,219,D,D,L,D,D,V,L,D,V,L,V,V,V,0,01/10/1995
30,218,D,V,L,L,L,L,V,L,L,L,L,L,V,0,24/09/1995
30,217,D,D,V,D,L,D,V,D,L,L,D,V,D,0,17/09/1995
30,216,L,L,V,D,D,V,D,D,L,L,L,L,V,0,10/09/1995
30,215,D,D,D,D,V,D,D,V,L,V,L,L,L,0,03/09/1995
30,214,D,V,D,L,V,L,D,L,L,V,D,D,L,0,27/08/1995
30,213,L,L,D,V,L,L,L,D,D,L,V,L,D,0,20/08/1995
30,212,L,D,L,D,V,D,L,D,D,L,D,D,V,0,13/08/1995
30,211,D,V,V,D,V,L,L,D,D,V,L,L,L,0,06/08/1995
30,210,D,D,D,V,V,D,L,V,D,L,D,D,D,0,25/12/1994
30,209,L,L,D,L,L,D,V,V,D,L,L,D,D,0,18/12/1994
30,208,V,D,L,L,L,L,D,L,L,V,D,D,V,0,11/12/1994
30,207,V,D,V,D,L,V,D,V,L,D,V,V,D,0,04/12/1994
30,206,D,D,D,L,D,L,D,D,D,D,L,D,V,0,27/11/1994
30,205,L,L,L,L,D,D,D,L,D,D,V,D,D,0,20/11/1994
30,204,L,V,D,D,D,V,D,D,D,L,D,L,L,0,13/11/1994
30,203,L,V,L,D,L,D,D,D,V,L,D,D,D,0,06/11/1994
30,202,L,V,V,D,D,L,V,D,L,D,V,D,L,0,30/10/1994
30,201,V,D,D,D,L,D,D,L,V,L,V,D,L,0,23/10/1994
30,200,V,D,D,V,D,D,V,D,L,V,L,L,V,0,16/10/1994
30,199,L,L,L,L,L,L,L,D,L,L,V,L,D,0,09/10/1994
