game_slug,draw_number,draw_date,natural_numbers,additional_number,source_reference
melate_retro,1666,2026-09-05,07-22-23-26-27-37,13,official-history-sha256:04f37e60e76023a96e60406bc3fba8eb5bbd5c3ce15b4d874e14cc0fc1e6f952
melate_retro,1665,2026-09-01,07-12-19-23-27-32,38,official-history-sha256:04f37e60e76023a96e60406bc3fba8eb5bbd5c3ce15b4d874e14cc0fc1e6f952
melate_retro,1664,2026-08-29,04-19-22-23-31-33,13,official-history-sha256:04f37e60e76023a96e60406bc3fba8eb5bbd5c3ce15b4d874e14cc0fc1e6f952
melate_retro,834,2018-05-26,07-12-13-16-30-39,22,official-history-sha256:04f37e60e76023a96e60406bc3fba8eb5bbd5c3ce15b4d874e14cc0fc1e6f952
melate_retro,1,2010-06-01,06-13-14-21-25-35,37,official-history-sha256:04f37e60e76023a96e60406bc3fba8eb5bbd5c3ce15b4d874e14cc0fc1e6f952
