game_slug,draw_number,draw_date,natural_numbers,source_reference
chispazo,12234,2026-09-05,03-11-13-21-28,official-history-sha256:4d9e15816a9614e2d96fd0d41885a08a4ea1256660e22c6a6066e47fad2f1a06
chispazo,6118,2017-12-31,06-09-23-24-26,official-history-sha256:4d9e15816a9614e2d96fd0d41885a08a4ea1256660e22c6a6066e47fad2f1a06
chispazo,1,1999-01-05,04-07-11-21-24,official-history-sha256:4d9e15816a9614e2d96fd0d41885a08a4ea1256660e22c6a6066e47fad2f1a06
